S.No.,Name,Email,District,Address,Phone,Medium
1,"Govt. College, Bundi",pgcbundi@yahoo.com,Bundi,"Kota Road, Bundi",9414175588,Both (Hindi & English)
2,"Government Arts College, Kota",admissiongck@gmail.com,Kota,"Nayapura, Kota",9414256075,Both (Hindi & English)
3,"Government Girls College, Ajmer",ggcajmer@gmail.com,Ajmer,"IN FRONT OF RTDC,CIVIL LINE,AJMER",9413040505,Both (Hindi & English)
4,"S.M.B. Government College, Nathdwara",govtcollegenathdwara@gmail.com,Rajsamand,SMB Government Nathdwara,9414234955,Both (Hindi & English)
5,"Government P.G. College, Tonk",principalgctonk@yahoo.in,Tonk,"Baheer Road, Tonk",9414681680,Both (Hindi & English)
6,"Govt. Dungar College, Bikaner",info@dungarcollege.ac.in,Bikaner,"Sagar Road, Bikaner",9829141563,Both (Hindi & English)
7,"Government P. G. College, Baran",principalgcbaran@yahoo.com,Baran,"Mangrol Byepass Road, Baran",9461183427,Both (Hindi & English)
8,"Govt. M.S. College for Women, Bikaner",mscollege.bkn@gmail.com,Bikaner,"Gajner Road, Bikaner",9460618014,Both (Hindi & English)
9,"Government College, Ajmer",gcajmer175@gmail.com,Ajmer,"Beawar Road, Ajmer",9828648860,Both (Hindi & English)
10,"B.S.R. Government Arts College, Alwar",artscollegealwar@gmail.com,Alwar,"Near Jail Circle, Alwar",9414784154,Both (Hindi & English)
11,"Shri Govind Guru Govt. College, Banswara",govtcollegebsw@gmail.com,Banswara,"Dungarpur Road, Banswara",9983723436,Both (Hindi & English)
12,"Govt. Meera Girls College, Udaipur",meeragirlscollege@gmail.com,Udaipur,"Govt. Meera Girls College, Udaipur",9413093946,Both (Hindi & English)
13,"M.L.V. Govt. College, Bhilwara",mlv1_bhilwara@yahoo.co.in,Bhilwara,"Kashipuri, Bhilwara - 311001",9414867357,Both (Hindi & English)
14,"Government Arts Girls College, Kota",jdbcollegekota@gmail.com,Kota,"Near Antagarh Circle, Nayapura, Kota",9414178985,Both (Hindi & English)
15,"Government Arts College, Dausa",gpgcdausa@gmail.com,Dausa,"Agra Road, Dausa",9414035317,Both (Hindi & English)
16,"Govt. Nehru Memorial College, Hanumangarh",govtnmcollege@gmail.com,Hanumangarh,"Station Road, Hanumangrh",9602444442,Both (Hindi & English)
17,"L.B.S. Government P.G. College, Kotputli",govtcollegekotputli@gmail.com,Jaipur,"L.B.S. Government P.G. College, Kotputli",9887410991,Both (Hindi & English)
18,"Government P.G. College, Jalore",govtcollegejalore@gmail.com,Jalore,"GOVERNMENT P.G. COLLEGE JALORE, AHORE ROAD JALORE",9413852808,Both (Hindi & English)
19,"Government Arts College, Sikar",artscollegesikar@gmail.com,Sikar,"Silveer Jubilee Road, Sikar",9414056582,Both (Hindi & English)
20,"Bangur Government P.G College, Pali",gbcpali@yahoo.co.in,Pali,"COLLEGE ROAD, PALI-306401",9460145111,Both (Hindi & English)
21,"M.S.J. Government College, Bharatpur",msjc47@gmail.com,Bharatpur,"Achhnera Road,Bharatpur-321001,Rajasthan",9414268356,Both (Hindi & English)
22,"Government P.G. College, Dholpur",collegedholpur@gmail.com,Dhaulpur,"Tiwari Bagh, Near Railway Station, Dholpur (Raj.)",9414222246,Both (Hindi & English)
23,"M.P. Government P.G. College, Chittorgarh",mppg_college@yahoo.co.in,Chittorgarh,"PRATAP NAGAR, UDAIPUR ROAD, CHITTORGARH.",9414289879,Both (Hindi & English)
24,"S.B.R.M. Government P.G. College, Nagaur",sbrmprincipal@gmail.com,Nagaur,"SBRM GOVT PG COLLEGE, NAGAUR",9414342765,Both (Hindi & English)
25,"S.B.P. Government College, Dungarpur",sbpgcd@gmail.com,Dungarpur,"Shastri Colony,Dungarpur-Banswara road",9460246885,Both (Hindi & English)
26,"S.D. Government College, Beawar",sdcollegebeawar@gmail.com,Ajmer,S D Govt College Beawar Dist. Ajmer,9828531962,Both (Hindi & English)
27,"D.B.R.A. Government College, Sri Ganganagar",gcssgnr1946@gmail.com,Sri Ganganagar,Dr B R Ambedkar Govt College Hindumal kot Road Sriganganagar,9414482133,Both (Hindi & English)
28,"Govt. Lohia College, Churu",lohiacollegechuru@gmail.com,Churu,"Station Road, Churu",9461328741,Both (Hindi & English)
29,"S.M.C.C. Govt. College, Abu Road",smcc.govtcollege@gmail.com,Sirohi,"S.M.C.C. Govt. College, Abu Road",9928107752,Both (Hindi & English)
30,"Government College, Sirohi",collegesirohi@gmail.com,Sirohi,"Palace Road, Sirohi",9610495977,Both (Hindi & English)
31,"Ch. Balluram Godara Govt. Girls College, Sri Ganganagar",principalbrgcollege@gmail.com,Sri Ganganagar,"Ravinder Path, Near Bhagat Singh Chowk, Sri Ganganagar",9460102769,Both (Hindi & English)
32,"Government P.G. College, Jhalawar",principalgcjhalawar@gmail.com,Jhalawar,GovernmentP.G. College Jhalawar (Rajasthan),9414256051,Both (Hindi & English)
33,"Govt. P.G. College, Pratapgarh",principalgovtcollegepratapgarh@gmail.com,Pratapgarh,"Banswar Road, Pratapgarh",9414419755,Both (Hindi & English)
34,"S.N.K.P. Govt. College, Neem Ka Thana",snkpgovtcollegeneemkathana@gmail.com,Sikar,"Khetri Mod, Neem Ka Thana",9414466667,Both (Hindi & English)
35,"R.L.Saharia Govt. College, Kaladera",rlscollegekaladera@gmail.com,Jaipur,"R.L.Saharia Govt. College, Kaladera",9460987480,Both (Hindi & English)
36,M A J GOVT COLLEGE DEEG (BHARATPUR) RAJ.,majgovtcollegedeeg3@gmail.com,Bharatpur,"DEEG ,BHARATPUR, RAJ",9461462757,Both (Hindi & English)
37,"Government College, Thanagazi",gcthanagazi@gmail.com,Alwar,GOVERNMENT COLLEGE THANAGAZI (ALWAR),9414357667,Both (Hindi & English)
38,Govt. PG College Bibirani,gcbibirani@gmail.com,Alwar,"POST- EKROTIYA, THE.- KOTKASIM, DISTT. - ALWAR (RAJ.)",9414293004,Both (Hindi & English)
39,"S.P.S.B. Government College, Shahpura",psbgovtcollege@rediffmail.com,Bhilwara,Sh. P.S.B. Govt College Shahpura-Bhilwara(Raj.),9414686132,Both (Hindi & English)
40,"S.R.R.M. Government College, Jhunjhunu",morarkacollege@gmail.com,Jhunjhunu,"KARUNDIA ROAD, ROAD NO- 2, JHUNJHUNUN 333001",9887993740,Both (Hindi & English)
41,"S.V. Government College, Khetri",govt.college.khetri@gmail.com,Jhunjhunu,Near S.D.M. Court Neem Ka thana Road Ward No 16 Khetri,9799994350,Both (Hindi & English)
42,"Government Arts College, Chimanpura (BBD)",bbdcollege@rediffmail.com,Jaipur,"VILL.& POST- CHIMANURA, VIA-SHAHPURA, DISTT.-JAIPUR",9928990023,Both (Hindi & English)
43,"Bangur Government P.G. College, Didwana",gbc_didwana@yahoo.com,Nagaur,"Station Road, Didwana. PIN-341303",9414213687,Both (Hindi & English)
44,"Government College, Deoli",gc_deoli@rediffmail.com,Tonk,"GOVERNMENT COLLEGE, DEOLI (TONK )",9414280934,Both (Hindi & English)
45,"S. N.D.B. Govt. College, Nohar",ndbgovtcollege@rediffmail.com,Hanumangarh,"Bhadra Road, Near Railway Fatak, Nohar",9414503357,Both (Hindi & English)
46,"G.D.Govt. College For Women , Alwar",principalgauridevi@gmail.com,Alwar,Opp. Jaikishan Club Alwar,9414681040,Both (Hindi & English)
47,"S.R.K.P. Government P.G.College, Kishangarh",govtcollegekishangarh@yahoo.com,Ajmer,"City Road, Kishangarh",9414313729,Both (Hindi & English)
48,"R. D. Govt Girls College, Bharatpur",rdgirls@gmail.com,Bharatpur,"Inside Killa, Bharatpur",9413594511,Both (Hindi & English)
49,"S. B. D. Government College, Sardarshahar",sbdgcs@gmail.com,Churu,"S. B. D. Government College, Sardarshahar",9413148678,Both (Hindi & English)
50,"S. R. S. K. J. Govt. Girls College, Jalore",srskjggcj@rocketmail.com,Jalore,"Ahore Road, Jalore",9413506841,Both (Hindi & English)
51,"Government Girls College, Nathdwara",ggcnathdwara@gmail.com,Rajsamand,"Lal Bagh, Nathdwara",9414585665,Both (Hindi & English)
52,"G.K. GOWANI GOVT. COLLEGE, BHINMAL",gkggc_bhinmal@yahoo.in,Jalore,BHINMAL,9829322644,Both (Hindi & English)
53,"Government College, Hindaun City",gchindaun@gmail.com,Karauli,KARAULI ROAD HINDAUN CITY,9413149333,Both (Hindi & English)
